species,population,specimen_num,cell_type,observation,primary_wall_thickness,secondary_wall_thickness,length,lumen_diameter,cell_total_diameter,lignified?,num_of_cell_width,seriate_num
occidentalis,jasper,2,bark_fiber,4,90,920,1040,20,1030,no,,
occidentalis,jasper,2,sieve_tube_mem,1,120,80,320,100,300,no,,
occidentalis,jasper,2,sieve_tube_mem,2,140,60,330,120,320,no,,
occidentalis,jasper,2,sieve_tube_mem,3,160,50,320,140,350,no,,
occidentalis,jasper,2,sieve_tube_mem,4,180,40,360,130,350,no,,
occidentalis,jasper,2,phloem_parenchyma,1,240,,350,130,370,no,,
occidentalis,jasper,2,phloem_parenchyma,2,250,,380,150,400,no,,
occidentalis,jasper,2,phloem_parenchyma,3,260,,440,160,420,no,,
occidentalis,jasper,2,phloem_parenchyma,4,260,,460,180,440,no,,
occidentalis,jasper,2,companion_cell,1,330,,100,330,660,no,,
occidentalis,jasper,2,companion_cell,2,320,,130,290,610,no,,
occidentalis,jasper,2,companion_cell,3,310,,90,280,590,no,,
occidentalis,jasper,2,companion_cell,4,320,,140,280,600,no,,
occidentalis,jasper,2,ray,1,220,,,,220,no,4,3
occidentalis,jasper,2,ray,2,220,,,,220,no,5,4
occidentalis,jasper,2,ray,3,210,,,,210,no,3,5
occidentalis,jasper,2,ray,4,230,,,,230,no,4,4
occidentalis,jasper,3,bark_fiber,1,80,980,1000,30,1090,no,,
occidentalis,jasper,3,bark_fiber,2,90,880,980,40,1010,no,,
occidentalis,jasper,3,bark_fiber,3,70,790,960,10,870,no,,
occidentalis,jasper,3,bark_fiber,4,90,920,1040,20,1030,no,,
occidentalis,jasper,3,sieve_tube_mem,1,120,80,320,100,300,no,,
occidentalis,jasper,3,sieve_tube_mem,2,140,60,330,120,320,no,,
occidentalis,jasper,3,sieve_tube_mem,3,160,50,320,140,350,no,,
occidentalis,jasper,3,sieve_tube_mem,4,180,40,360,130,350,no,,
occidentalis,jasper,3,phloem_parenchyma,1,240,,350,130,370,no,,
occidentalis,jasper,3,phloem_parenchyma,2,250,,380,150,400,no,,
occidentalis,jasper,3,phloem_parenchyma,3,260,,440,160,420,no,,
occidentalis,jasper,3,phloem_parenchyma,4,260,,460,180,440,no,,
occidentalis,jasper,3,companion_cell,1,330,,100,330,660,no,,
occidentalis,jasper,3,companion_cell,2,320,,130,290,610,no,,
occidentalis,jasper,3,companion_cell,3,310,,90,280,590,no,,
occidentalis,jasper,3,companion_cell,4,320,,140,280,600,no,,
occidentalis,jasper,3,ray,1,220,,,,220,no,4,3
occidentalis,jasper,3,ray,2,220,,,,220,no,5,4
occidentalis,jasper,3,ray,3,210,,,,210,no,3,5
occidentalis,jasper,3,ray,4,230,,,,230,no,4,4
decipiens,eureka,1,bark_fiber,1,80,980,1000,30,1090,no,,
decipiens,eureka,1,bark_fiber,2,90,880,980,40,1010,no,,
decipiens,eureka,1,bark_fiber,3,70,790,960,10,870,no,,
decipiens,eureka,1,bark_fiber,4,90,920,1040,20,1030,no,,
decipiens,eureka,1,sieve_tube_mem,1,120,80,320,100,300,no,,
decipiens,eureka,1,sieve_tube_mem,2,140,60,330,120,320,no,,
decipiens,eureka,1,sieve_tube_mem,3,160,50,320,140,350,no,,
decipiens,eureka,1,sieve_tube_mem,4,180,40,360,130,350,no,,
decipiens,eureka,1,phloem_parenchyma,1,240,,350,130,370,no,,
decipiens,eureka,1,phloem_parenchyma,2,250,,380,150,400,no,,
decipiens,eureka,1,phloem_parenchyma,3,260,,440,160,420,no,,
decipiens,eureka,1,phloem_parenchyma,4,260,,460,180,440,no,,
decipiens,eureka,1,companion_cell,1,330,,100,330,660,no,,
decipiens,eureka,1,companion_cell,2,320,,130,290,610,no,,
decipiens,eureka,1,companion_cell,3,310,,90,280,590,no,,
decipiens,eureka,1,companion_cell,4,320,,140,280,600,no,,
decipiens,eureka,1,ray,1,220,,,,220,no,4,3
decipiens,eureka,1,ray,2,220,,,,220,no,5,4
decipiens,eureka,1,ray,3,210,,,,210,no,3,5
decipiens,eureka,1,ray,4,230,,,,230,no,4,4
decipiens,eureka,2,bark_fiber,1,80,980,1000,30,1090,no,,
decipiens,eureka,2,bark_fiber,2,90,880,980,40,1010,no,,
decipiens,eureka,2,bark_fiber,3,70,790,960,10,870,no,,
decipiens,eureka,2,bark_fiber,4,90,920,1040,20,1030,no,,
decipiens,eureka,2,sieve_tube_mem,1,120,80,320,100,300,no,,
decipiens,eureka,2,sieve_tube_mem,2,140,60,330,120,320,no,,
decipiens,eureka,2,sieve_tube_mem,3,160,50,320,140,350,no,,
decipiens,eureka,2,sieve_tube_mem,4,180,40,360,130,350,no,,
decipiens,eureka,2,phloem_parenchyma,1,240,,350,130,370,no,,
decipiens,eureka,2,phloem_parenchyma,2,250,,380,150,400,no,,
decipiens,eureka,2,phloem_parenchyma,3,260,,440,160,420,no,,
decipiens,eureka,2,phloem_parenchyma,4,260,,460,180,440,no,,
decipiens,eureka,2,companion_cell,1,330,,100,330,660,no,,
decipiens,eureka,2,companion_cell,2,320,,130,290,610,no,,
decipiens,eureka,2,companion_cell,3,310,,90,280,590,no,,
decipiens,eureka,2,companion_cell,4,320,,140,280,600,no,,
decipiens,eureka,2,ray,1,220,,,,220,no,4,3
decipiens,eureka,2,ray,2,220,,,,220,no,5,4
decipiens,eureka,2,ray,3,210,,,,210,no,3,5
decipiens,eureka,2,ray,4,230,,,,230,no,4,4
decipiens,eureka,3,bark_fiber,1,80,980,1000,30,1090,no,,
decipiens,eureka,3,bark_fiber,2,90,880,980,40,1010,no,,
decipiens,eureka,3,bark_fiber,3,70,790,960,10,870,no,,
decipiens,eureka,3,bark_fiber,4,90,920,1040,20,1030,no,,
decipiens,eureka,3,sieve_tube_mem,1,120,80,320,100,300,no,,
decipiens,eureka,3,sieve_tube_mem,2,140,60,330,120,320,no,,
decipiens,eureka,3,sieve_tube_mem,3,160,50,320,140,350,no,,
decipiens,eureka,3,sieve_tube_mem,4,180,40,360,130,350,no,,
decipiens,eureka,3,phloem_parenchyma,1,240,,350,130,370,no,,
decipiens,eureka,3,phloem_parenchyma,2,250,,380,150,400,no,,
decipiens,eureka,3,phloem_parenchyma,3,260,,440,160,420,no,,
decipiens,eureka,3,phloem_parenchyma,4,260,,460,180,440,no,,
decipiens,eureka,3,companion_cell,1,330,,100,330,660,no,,
decipiens,eureka,3,companion_cell,2,320,,130,290,610,no,,
decipiens,eureka,3,companion_cell,3,310,,90,280,590,no,,
decipiens,eureka,3,companion_cell,4,320,,140,280,600,no,,
decipiens,eureka,3,ray,1,220,,,,220,no,4,3
decipiens,eureka,3,ray,2,220,,,,220,no,5,4
decipiens,eureka,3,ray,3,210,,,,210,no,3,5
decipiens,eureka,3,ray,4,230,,,,230,no,4,4
decipiens,overland,1,bark_fiber,1,80,980,1000,30,1090,no,,
decipiens,overland,1,bark_fiber,2,90,880,980,40,1010,no,,
decipiens,overland,1,bark_fiber,3,70,790,960,10,870,no,,
decipiens,overland,1,bark_fiber,4,90,920,1040,20,1030,no,,
decipiens,overland,1,sieve_tube_mem,1,120,80,320,100,300,no,,
decipiens,overland,1,sieve_tube_mem,2,140,60,330,120,320,no,,
decipiens,overland,1,sieve_tube_mem,3,160,50,320,140,350,no,,
decipiens,overland,1,sieve_tube_mem,4,180,40,360,130,350,no,,
decipiens,overland,1,phloem_parenchyma,1,240,,350,130,370,no,,
decipiens,overland,1,phloem_parenchyma,2,250,,380,150,400,no,,
decipiens,overland,1,phloem_parenchyma,3,260,,440,160,420,no,,
decipiens,overland,1,phloem_parenchyma,4,260,,460,180,440,no,,
decipiens,overland,1,companion_cell,1,330,,100,330,660,no,,
decipiens,overland,1,companion_cell,2,320,,130,290,610,no,,
decipiens,overland,1,companion_cell,3,310,,90,280,590,no,,
decipiens,overland,1,companion_cell,4,320,,140,280,600,no,,
decipiens,overland,1,ray,1,220,,,,220,no,4,3
decipiens,overland,1,ray,2,220,,,,220,no,5,4
decipiens,overland,1,ray,3,210,,,,210,no,3,5
decipiens,overland,1,ray,4,230,,,,230,no,4,4
decipiens,overland,2,bark_fiber,1,80,980,1000,30,1090,no,,
decipiens,overland,2,bark_fiber,2,90,880,980,40,1010,no,,
decipiens,overland,2,bark_fiber,3,70,790,960,10,870,no,,
decipiens,overland,2,bark_fiber,4,90,920,1040,20,1030,no,,
decipiens,overland,2,sieve_tube_mem,1,120,80,320,100,300,no,,
decipiens,overland,2,sieve_tube_mem,2,140,60,330,120,320,no,,
decipiens,overland,2,sieve_tube_mem,3,160,50,320,140,350,no,,
decipiens,overland,2,sieve_tube_mem,4,180,40,360,130,350,no,,
decipiens,overland,2,phloem_parenchyma,1,240,,350,130,370,no,,
decipiens,overland,2,phloem_parenchyma,2,250,,380,150,400,no,,
decipiens,overland,2,phloem_parenchyma,3,260,,440,160,420,no,,
decipiens,overland,2,phloem_parenchyma,4,260,,460,180,440,no,,
decipiens,overland,2,companion_cell,1,330,,100,330,660,no,,
decipiens,overland,2,companion_cell,2,320,,130,290,610,no,,
decipiens,overland,2,companion_cell,3,310,,90,280,590,no,,
decipiens,overland,2,companion_cell,4,320,,140,280,600,no,,
decipiens,overland,2,ray,1,220,,,,220,no,4,3
decipiens,overland,2,ray,2,220,,,,220,no,5,4
decipiens,overland,2,ray,3,210,,,,210,no,3,5
decipiens,overland,2,ray,4,230,,,,230,no,4,4
decipiens,overland,3,bark_fiber,1,80,980,1000,30,1090,no,,
decipiens,overland,3,bark_fiber,2,90,880,980,40,1010,no,,
decipiens,overland,3,bark_fiber,3,70,790,960,10,870,no,,
decipiens,overland,3,bark_fiber,4,90,920,1040,20,1030,no,,
decipiens,overland,3,sieve_tube_mem,1,120,80,320,100,300,no,,
decipiens,overland,3,sieve_tube_mem,2,140,60,330,120,320,no,,
decipiens,overland,3,sieve_tube_mem,3,160,50,320,140,350,no,,
decipiens,overland,3,sieve_tube_mem,4,180,40,360,130,350,no,,
decipiens,overland,3,phloem_parenchyma,1,240,,350,130,370,no,,
decipiens,overland,3,phloem_parenchyma,2,250,,380,150,400,no,,
decipiens,overland,3,phloem_parenchyma,3,260,,440,160,420,no,,
decipiens,overland,3,phloem_parenchyma,4,260,,460,180,440,no,,
decipiens,overland,3,companion_cell,1,330,,100,330,660,no,,
decipiens,overland,3,companion_cell,2,320,,130,290,610,no,,
decipiens,overland,3,companion_cell,3,310,,90,280,590,no,,
decipiens,overland,3,companion_cell,4,320,,140,280,600,no,,
decipiens,overland,3,ray,1,220,,,,220,no,4,3
decipiens,overland,3,ray,2,220,,,,220,no,5,4
decipiens,overland,3,ray,3,210,,,,210,no,3,5
decipiens,overland,3,ray,4,230,,,,230,no,4,4
palustris,me,1,bark_fiber,1,80,980,1000,30,1090,no,,
palustris,me,1,bark_fiber,2,90,880,980,40,1010,no,,
palustris,me,1,bark_fiber,3,70,790,960,10,870,no,,
palustris,me,1,bark_fiber,4,90,920,1040,20,1030,no,,
palustris,me,1,sieve_tube_mem,1,120,80,320,100,300,no,,
palustris,me,1,sieve_tube_mem,2,140,60,330,120,320,no,,
palustris,me,1,sieve_tube_mem,3,160,50,320,140,350,no,,
palustris,me,1,sieve_tube_mem,4,180,40,360,130,350,no,,
palustris,me,1,phloem_parenchyma,1,240,,350,130,370,no,,
palustris,me,1,phloem_parenchyma,2,250,,380,150,400,no,,
palustris,me,1,phloem_parenchyma,3,260,,440,160,420,no,,
palustris,me,1,phloem_parenchyma,4,260,,460,180,440,no,,
palustris,me,1,companion_cell,1,330,,100,330,660,no,,
palustris,me,1,companion_cell,2,320,,130,290,610,no,,
palustris,me,1,companion_cell,3,310,,90,280,590,no,,
palustris,me,1,companion_cell,4,320,,140,280,600,no,,
palustris,me,1,ray,1,220,,,,220,no,4,3
palustris,me,1,ray,2,220,,,,220,no,5,4
palustris,me,1,ray,3,210,,,,210,no,3,5
palustris,me,1,ray,4,230,,,,230,no,4,4
palustris,me,2,bark_fiber,1,80,980,1000,30,1090,no,,
palustris,me,2,bark_fiber,2,90,880,980,40,1010,no,,
palustris,me,2,bark_fiber,3,70,790,960,10,870,no,,
palustris,me,2,bark_fiber,4,90,920,1040,20,1030,no,,
palustris,me,2,sieve_tube_mem,1,120,80,320,100,300,no,,
palustris,me,2,sieve_tube_mem,2,140,60,330,120,320,no,,
palustris,me,2,sieve_tube_mem,3,160,50,320,140,350,no,,
palustris,me,2,sieve_tube_mem,4,180,40,360,130,350,no,,
palustris,me,2,phloem_parenchyma,1,240,,350,130,370,no,,
palustris,me,2,phloem_parenchyma,2,250,,380,150,400,no,,
palustris,me,2,phloem_parenchyma,3,260,,440,160,420,no,,
palustris,me,2,phloem_parenchyma,4,260,,460,180,440,no,,
palustris,me,2,companion_cell,1,330,,100,330,660,no,,
palustris,me,2,companion_cell,2,320,,130,290,610,no,,
palustris,me,2,companion_cell,3,310,,90,280,590,no,,
palustris,me,2,companion_cell,4,320,,140,280,600,no,,
palustris,me,2,ray,1,220,,,,220,no,4,3
palustris,me,2,ray,2,220,,,,220,no,5,4
palustris,me,2,ray,3,210,,,,210,no,3,5
palustris,me,2,ray,4,230,,,,230,no,4,4
palustris,me,3,bark_fiber,1,80,980,1000,30,1090,no,,
palustris,me,3,bark_fiber,2,90,880,980,40,1010,no,,
palustris,me,3,bark_fiber,3,70,790,960,10,870,no,,
palustris,me,3,bark_fiber,4,90,920,1040,20,1030,no,,
palustris,me,3,sieve_tube_mem,1,120,80,320,100,300,no,,
palustris,me,3,sieve_tube_mem,2,140,60,330,120,320,no,,
palustris,me,3,sieve_tube_mem,3,160,50,320,140,350,no,,
palustris,me,3,sieve_tube_mem,4,180,40,360,130,350,no,,
palustris,me,3,phloem_parenchyma,1,240,,350,130,370,no,,
palustris,me,3,phloem_parenchyma,2,250,,380,150,400,no,,
palustris,me,3,phloem_parenchyma,3,260,,440,160,420,no,,
palustris,me,3,phloem_parenchyma,4,260,,460,180,440,no,,
palustris,me,3,companion_cell,1,330,,100,330,660,no,,
palustris,me,3,companion_cell,2,320,,130,290,610,no,,
palustris,me,3,companion_cell,3,310,,90,280,590,no,,
palustris,me,3,companion_cell,4,320,,140,280,600,no,,
palustris,me,3,ray,1,220,,,,220,no,4,3
palustris,me,3,ray,2,220,,,,220,no,5,4
palustris,me,3,ray,3,210,,,,210,no,3,5
palustris,me,3,ray,4,230,,,,230,no,4,4
palustris,fl,1,bark_fiber,1,80,980,1000,30,1090,no,,
palustris,fl,1,bark_fiber,2,90,880,980,40,1010,no,,
palustris,fl,1,bark_fiber,3,70,790,960,10,870,no,,
palustris,fl,1,bark_fiber,4,90,920,1040,20,1030,no,,
palustris,fl,1,sieve_tube_mem,1,120,80,320,100,300,no,,
palustris,fl,1,sieve_tube_mem,2,140,60,330,120,320,no,,
palustris,fl,1,sieve_tube_mem,3,160,50,320,140,350,no,,
palustris,fl,1,sieve_tube_mem,4,180,40,360,130,350,no,,
palustris,fl,1,phloem_parenchyma,1,240,,350,130,370,no,,
palustris,fl,1,phloem_parenchyma,2,250,,380,150,400,no,,
palustris,fl,1,phloem_parenchyma,3,260,,440,160,420,no,,
palustris,fl,1,phloem_parenchyma,4,260,,460,180,440,no,,
palustris,fl,1,companion_cell,1,330,,100,330,660,no,,
palustris,fl,1,companion_cell,2,320,,130,290,610,no,,
palustris,fl,1,companion_cell,3,310,,90,280,590,no,,
palustris,fl,1,companion_cell,4,320,,140,280,600,no,,
palustris,fl,1,ray,1,220,,,,220,no,4,3
palustris,fl,1,ray,2,220,,,,220,no,5,4
palustris,fl,1,ray,3,210,,,,210,no,3,5
palustris,fl,1,ray,4,230,,,,230,no,4,4
palustris,fl,2,bark_fiber,1,80,980,1000,30,1090,no,,
palustris,fl,2,bark_fiber,2,90,880,980,40,1010,no,,
palustris,fl,2,bark_fiber,3,70,790,960,10,870,no,,
palustris,fl,2,bark_fiber,4,90,920,1040,20,1030,no,,
palustris,fl,2,sieve_tube_mem,1,120,80,320,100,300,no,,
palustris,fl,2,sieve_tube_mem,2,140,60,330,120,320,no,,
palustris,fl,2,sieve_tube_mem,3,160,50,320,140,350,no,,
palustris,fl,2,sieve_tube_mem,4,180,40,360,130,350,no,,
palustris,fl,2,phloem_parenchyma,1,240,,350,130,370,no,,
palustris,fl,2,phloem_parenchyma,2,250,,380,150,400,no,,
palustris,fl,2,phloem_parenchyma,3,260,,440,160,420,no,,
palustris,fl,2,phloem_parenchyma,4,260,,460,180,440,no,,
palustris,fl,2,companion_cell,1,330,,100,330,660,no,,
palustris,fl,2,companion_cell,2,320,,130,290,610,no,,
palustris,fl,2,companion_cell,3,310,,90,280,590,no,,
palustris,fl,2,companion_cell,4,320,,140,280,600,no,,
palustris,fl,2,ray,1,220,,,,220,no,4,3
palustris,fl,2,ray,2,220,,,,220,no,5,4
palustris,fl,2,ray,3,210,,,,210,no,3,5
palustris,fl,2,ray,4,230,,,,230,no,4,4
palustris,fl,3,bark_fiber,1,80,980,1000,30,1090,no,,
palustris,fl,3,bark_fiber,2,90,880,980,40,1010,no,,
palustris,fl,3,bark_fiber,3,70,790,960,10,870,no,,
palustris,fl,3,bark_fiber,4,90,920,1040,20,1030,no,,
palustris,fl,3,sieve_tube_mem,1,120,80,320,100,300,no,,
palustris,fl,3,sieve_tube_mem,2,140,60,330,120,320,no,,
palustris,fl,3,sieve_tube_mem,3,160,50,320,140,350,no,,
palustris,fl,3,sieve_tube_mem,4,180,40,360,130,350,no,,
palustris,fl,3,phloem_parenchyma,1,240,,350,130,370,no,,
palustris,fl,3,phloem_parenchyma,2,250,,380,150,400,no,,
palustris,fl,3,phloem_parenchyma,3,260,,440,160,420,no,,
palustris,fl,3,phloem_parenchyma,4,260,,460,180,440,no,,
palustris,fl,3,companion_cell,1,330,,100,330,660,no,,
palustris,fl,3,companion_cell,2,320,,130,290,610,no,,
palustris,fl,3,companion_cell,3,310,,90,280,590,no,,
palustris,fl,3,companion_cell,4,320,,140,280,600,no,,
palustris,fl,3,ray,1,220,,,,220,no,4,3
palustris,fl,3,ray,2,220,,,,220,no,5,4
palustris,fl,3,ray,3,210,,,,210,no,3,5
palustris,fl,3,ray,4,230,,,,230,no,4,4
palustris,nd,1,bark_fiber,1,80,980,1000,30,1090,no,,
